#sentence	#label
The most syndicated comic strip was Peanuts by Charles Schulz (the US) appears in 2,620 different newspapers in 75 different countries!	1
Tulsa contains several permanent dance, theater, and concert groups, including the Tulsa Ballet, the Tulsa Opera, the Tulsa Symphony Orchestra, Light Opera Oklahoma, Signature Symphony at TCC, the Tulsa Youth Symphony, the Heller Theatre, American Theatre Company, which is a member of the Theatre Communications Group and Oklahoma's oldest resident professional theatre, and Theatre Tulsa, the oldest continuously operating community theatre company west of the Mississippi River.	0
From Milan Salieri included stops in Venice and Rome and finally a return to Milan.	0
String Quartet No.2, Quasi una Fantasia, Op.	0
A woodpecker can peck 20 times a second	1
The Poop In My Pants is chock-full of brilliant little easter eggs for the observant fan, including the reveal that Mr. and Mrs. Poopybutthole are from dimension C-137, a Varrix hiding during their picnic, and Pickle Rick’s helicopter with Jaguar leaping from it during their tandem bike ride, to name but a few.	1
When Pink Floyd designed the “Animals” album cover, the inflatable pig tied to the power station broke free, causing Heathrow Airport to cancel all their flights.	1
Mountain Lions are excellent jumpers and have been documented to leap horizontally 40 to 47 feet (12.2 - 14.3 m) and 10 to 18 feet (3 - 5.5 m) vertically.	1
One of the largest molecular dust clouds in the galaxy, Sagittarius B2, smells of raspberries and rum.	1
In South Korea, there are more fried chicken restaurants than there are McDonald’s restaurants worldwide.	1
When the playing card (and video game) company Nintendo, or Nintendo Koppai, was formed in September 1889, there were only 38 US states in the union, by the end of that year this figure rose to 42.	1
Because there is no standard patch language it is rare that a patch generated on one synthesizer can be used on a different model.	0
AMORC also claims that among their most esteemed pupils were Pharaoh Akhenaten (Amenhotep IV) and his wife Nefertiti.	0
Children form 8.86 percent of total population.	0
The current line-up includes; Robert Smith, Simon Gallup, Roger O’Donnell, Jason Cooper and Reeves Gabrels.	1
In created Vines for Sonic – which helped increased his online popularity.	1
* The first edition was not official	0
An early study by Summers and Clough (2000) on the evolution of skin coloration and toxicity in the Dendrobatidae family indicated that evolution of skin toxicity correlated significantly with the evolution of bright coloration.	0
It was deposited about 190 million years ago.	0
Originally, Out of My Limit was called “Over the Limit” but had to be changed because it sounded like the song was about alcohol.	1
She says she is a great cook.	1
2007: Solo Show, Carhartt Gallery – Weil am Rhein (Germany)	0
Whether such a deity existed among the Aztecs and what its meaning was, is a matter of dispute among scholars of Mesoamerican religion.	0
Evangeline has never had a puff of a cigarette.	1
1952 1962: His Excellency The Right Honourable The Lord Wakehurst KCMG, Governor of Northern Ireland	0
Carsten Cullmann (born 5 March 1976 in Cologne) is a German former footballer who last played as a defender for 1.	0
Nathan Sykes gets asked on many occasions to have sex whilst flying on a plane by the air hostesses!	1
On 10th December 2011, she reached one million followers on Twitter!	1
UEFA Champions League: 1994–95; Runner-up 1995–96	0
The first boundary between England and Wales came in 784AD with the creation of Offa’s Dyke by King Offa of Mercia.	1
Pièces d'Identités is a modern fairy story set in the world of African Immigrants in Europe.	0
However, even after he lost his hearing, Ludwig van Beethoven retained perfect pitch and continued composing.	1
From a feedlot and carcass standpoint, they provide	0
c – Clinched home court advantage for the conference playoffs	0
Louis Bertignac - Grizzly (ça c’est vraiment moi) (album, 2010, Polydor)	0
His full name is Alexander Johan Hjalmar Skarsgård.	1
In 2008, 3000 people passed “Go” online, in a world record attempt.	1
He is looking forward to an acting career in the future.	1
So, after balking at a competitor's 1000 euro per cubic metre disposal charge near Amsterdam, Trafigura decided to have the ship take back the waste and have it processed at various offloading sites, which all refused it until it was accepted at Abidjan, Côte d&apos;Ivoire, one of Africa's largest seaports.	0
This popular K-Pop group wasn’t self-created – an entertainment company called Big Heat Entertainment held auditions to recruit members starting in 2010.	1
Nyamo and Shinobu quickly become good friends and correspond when apart.	0
Hirate began karting in 1999 when he was 13.	0
Because of the running track, the corners of the end zone are partially cut.	0
The digital sound signal in both formats are EFM-encoded as in CD.	0
In 2015 the membership of the FLDS was estimated to be around 10,000, with between 500 &amp; 1,000 members leaving between 2013 and 2015.	1
Sun light can penetrate clean ocean water up to a depth of 73m (240 feet)	1
The term "stray voltage" is used for the gradient (rate of change with respect to distance) of electrical potential in the surface of the soil, associated with single-wire earth return electricity distribution systems used in some rural locations.	0
The park is open daily until 5 PM.	0
European and New England purchases soared from 720,000 bales in 1830, to 2.85 million bales in 1850, to nearly 5 million in 1860.	0
Actor Liam Neeson used to be a teacher, but got fired for punching a 15-year-old when the boy pulled a knife out in class.	1
Like true lobsters, spiny lobsters are edible and are an economically significant food source; they are the biggest food export of the Bahamas, for instance.	1
Louis and Harry first met in the toilets at X Factor.	1
A narrator states that when President Lyndon Johnson was asked about the Kennedy Assassination and the Warren Commission report, he said he doubted the findings of the Commission.	0
Christmas trees are grown across all 50 states of the US.	1
As Richard suggested, it had been extremely difficult to cast the Japanese girl -- we spent months on that, and nearly gave up.	0
Thistledown 1981 - written and illustrated by M M Kaye	0
Seasonal flow fluctuations are not very marked, similar to the Canche or the Somme, its neighbours.	0
Traversers: giant vegetal spider analogues which spin their webs between Earth and Moon in the novel Hothouse by Brian Aldiss	0
The John Cooper Works is a derivative of the Cooper S ALL4 version of the Countryman, with increased engine power to and with over boost: .	0
According to the National Peanut Board, the average 12 ounce jar of peanut butter requires around 540 to 550 peanuts to fill.	1
Six-red World Championship The event was called the Six-red Snooker International (2008/2009) and the Six-red World Grand Prix (2009/2010)	0
In either situation, bulls can be extremely dangerous.	1
Justin Bieber's YouTube play count is greater than the combined population of China and India.	1
Steve Bulen - Daisuke Jigen / Fake Jigen	0
Kevin Conroy, the man who has played Batman the longest, has starred in about 31 different versions including games, animated series, and TV series.	1
This therapy was also created by Zindel Segal and Mark Williams, and was partially based on the mindfulness-based stress reduction program, developed by Jon Kabat-Zinn.	0
Interview by Perry Hicks (For GulfCoastNews.com)	0
According to the Four Masters, in 1149 "An army was led by Toirdhealbhach Ua Briain and the men of Munster into Connacht, until they arrived at Magh Ua mBriuin; they carried off a great spoil of cattle, and demolished Dún-Gaillmhe; and Ua Lochlainn, lord of Corca-Modhruadh, was drowned in the (river) Gaillimh."	0
John Charles Daly (1914–1991), radio & TV newsman and television host on What's My Line?	0
Overall Subway, actually has more chains than the fast-food juggernaut, McDonald’s!	1
Shawn has been constantly hitting on Juliet for the past 4 seasons and every time Jules has refused to return his attentions.	0
One type would be the tall, flat sided bull which has a slack back and a poor hindquarter.	1
In 1968, the director of Canal 9, Alejandro Romay, offered her her own show, Almorzando con las estrellas ("Lunch with stars").	0
Breaking away from the repetitive base sculpt of the previous two movie collections, Kenner produced Batman Forever figures using a wider range of fresh sculpts.	0
When she was 16, she became a member of the Bloods, but has since disassociated from gangs.	1
The Lotus stem is eaten almost in all parts of India, and pickled too.	1
Laundry detergents contain a mix of ingredients including surfactants, builders, optical brighteners, etc.	0
Queen are one of the only groups/people beside the Queen to appear on a postage stamp, in 1999 the Royal Mail decided to release stamps that included Freddie Mercury on stage.	1
Or do we learn from Ahalya who made a conscious choice to fulfil her need and yet has been extolled?"	0
Lemurs used to live in Africa, but monkeys there were too much of a competition for the lemurs.	1
Bull's can run faster uphill than down	1
One Hundred Poems, 1919–1939, Sydney: Angus &amp; Robertson (1944)	0
Some Canadians use the word "Mum" rather than the American "Mom".	0
Once 1592 came around, Shakespeare popped up again emerging as an actor and playwright.	1
Soundtracker 1: green lightshow theme; plays "Back In The Saddle" and "Dude Looks Like A Lady".	0
Unlike dial-up connections, a leased line is always active.	0
Nowiny, Gołdap County in Warmian-Masurian Voivodeship (north Poland)	0
Aztec mothers who died in childbirth were regarded as highly as warriors who died in battle.	1
Despite being a successful player, László Rafinsky was not a great manager.	0
Cordazar Calvin Broadus, Percy Robert Miller Sr., Craig S. Lawson	0
Unlike many other ancient buildings, the Pantheon has been in continuous use throughout its history.	0
Exploits MS08-067 vulnerability in Server service	0
Shirley Babashoff, Jane Barkman, Jenny Kemp, and Sandy Neilson &mdash; Swimming, Women's 4x100 m Freestyle Relay	0
Hugo identified himself as a Catholic and held a great amount of respect for the church.	1
Austin met Taylor Swift at a coffee shop years before he was famous.	1
R/Q is transcendental, although not purely transcendental.	0
Bald eagles can mate while flying or free falling.	1
On its right side there is a third high-mediaeval epigraph, situated between two lion statues, referring to the building of a fountain.	0
It was said by Alejandro Verón, one of the founders: “I have a rational religion, and that’s the Catholic Church, and I have a religion passed on my heart, passion, and that’s Diego Maradona.” Supporters of the Maradonian Church, supposedly from all parts of the world, count the years since Maradona's birth in 1960.	0
He has three children; Meg, Chris and Stewie.	1
Gmina Suwałki is a rural gmina (administrative district) in Suwałki County, Podlaskie Voivodeship, in north-eastern Poland.	0
"Such Excitement You Never Saw": Gold Mining in Nineteenth-Century Georgia	0
Sigmund Freud's Die Traumdeutung (The Interpretation of Dreams) is published.	0
She has also twice won Best Actress at both the Cannes Film Festival and the Venice Film Festival.	0
He was born in Salamanca, Spain.	1
to intervene against Magnus and Haakon in Sweden and depose them both in favour of his and Euphemia's son Albert.	0
He studied at the Swiss Federal Institute of Technology in Zürich.	0
Critics however disliked the romantic love triangle, and claimed the ending for Mockingjay did not tie up any loose ends.	1
Justin gains an average of 207,788 fans on Facebook a week.	1
Originally, the siren on the logo was much racier which full chest showing, and didn’t become the PG version we know today until 1992.	1
Asteroids was so popular that some video arcade operators had to install large boxes to hold the number of coins spent by players.	0
Melophobia is the fear of music	1
Their units served for only a few weeks or months at a time, were reluctant to travel far from home and thus were unavailable for extended operations, and lacked the training and discipline of soldiers with more experience.	0
In 1928 the conservatives won in the polls and he was forced to give up power to Arvid Lindman.	0
A pro-Dunstan, pro-Benedictine party began to form around Athelstan Half-King's domain of East Anglia and supporting Eadwig's younger brother Edgar.	0
When Merlot has spent significant time in oak, the wine may show notes of caramel, chocolate, coconut, coffee bean, dill weed, mocha, molasses, smoke, vanilla and walnut.	0
On December 15th, 1960, the red robin was officially named Britain’s National Bird.	1
Berkeley and Los Angeles: University of California Press.	0
Bill and Ted's Excellent Adventures (1991)	0
It is a revolution we have two roads – we go to prison or we win."	0
Pope John Paul II was shot and seriously wounded by Mehmet Ali Ağca, a Turkish gunman, as he entered St. Peter's Square in Vatican City to address a general audience.	0
Bolesławiec Leśny is a village in the administrative district of Gmina Błędów, within Grójec County, Masovian Voivodeship, in east-central Poland.	0
The concentrated heat is then used as a heat source for a conventional power plant.	0
"Gesualdo: the man and his music" / Oxford University Press, 1973 reprinted 1991.	0
Barley and Ravenpaw finally assisted the Clans in their exodus by allowing them shelter in The New Prophecy series.	0
Cows can hear lower and higher frequencies better than humans.	1
Leopold Trepper was an agent of the GRU.	0
As in other languages, the meaning is not that of a true plural, but collectives that refer to a set of the same or related objects, often in a particular situation.	0
Because of the restrictively low budget, no light equipment was utilized during the shoot.	0
The hand and footprints in front of the Chinese Theater tradition started accidentally when silent film actress, Norma Talmadge stepped on wet cement.	1
As it was based on such sparse material, it has largely been ignored or considered to be indistinguishable from other, better-known sauropods.	0
The movie dealt with Lafitte's contribution to the War of 1812 between the USA and Great Britain, and starred Fredric March as Lafitte.	0
Adam Driver, the actor who plays Kylo Ren, chose this role over the part of Lex Luthor in the 2016 Superman vs Batman film.	1
The philosophical movements of the time in which both Camus and Sartre were leaders in turn influenced Ponge's own work.	0
Although he was among the youngest players in their squad, he became an important part of the first team.	0
The horns are light, lyre-shaped in cows, half-moon-shaped in bulls; they are slate-grey in young animals, becoming pale at the base and dark at the tip with maturity.	0
An organ harvester's plans are foiled by a small gang and a female gunslinger who rides a motorcycle.	0
Against the Gods: The Remarkable Story of RiskPeter L. Bernstein1996	0
His choice in girls is quite specific, he likes brunettes, shorter than himself, freckles and girls that are confident enough to not wear too much make-up.	1
Monologue by Brian on having a party when Fran and Gordon go on Vacation	0
Communes are generally governed by a council (sometimes called Municipality) headed by a mayor as executive and the town meeting as legislature.	0
"File #4: Lincoln Sedan Deadline" (September 1968, EQMM; DKA)	0
| (16767) 1996 US || October 16, 1996	0
Island of Kyūshū — Saga Prefecture — Nagasaki Prefecture — from	0
In 2009, Tout suffered a heart attack.	0
Shawn released his debut EP, The Shawn Mendes EP, in July 2014.	1
Random House, which is owned by Bertelsmann AG, is the U.S. publisher and still holds some of the rights to the books.	0
Israeli forces, however, quickly withdrew from Lebanon, and the attacks against Israel resumed.	0
Henry Cavendish, chemist (recognized Hydrogen as its own elemental substance)	0
The term eparch ( , eparchos) however, designating an eparchy's governor, was most usually used to refer to the praetorian prefects (singular in Greek: , "eparch of the praetorium") in charge of the Empire's praetorian prefectures, and to the Eparch of Constantinople, the city's urban prefect.	0
It costs less that $1 a year to keep your smartphone charged up.	1
Quite a few celebrities hail from the island including Rhianna, Shontelle and Grandmaster Flash.	1
An overwhelming silence hangs over the official histories of Korea when it comes to the kisaeng.	0
The Great Dane is the tallest dog in the world, while the St. Bernard is the heaviest, weighing up to 120kg when fully-grown.	1
Anicius Probus, vir inlustris in 459.	0
This Indian surname is more often spelt Duggal.	0
New Calendonia is a special collectivity of France located in the southwest Pacific Ocean.	0
Carrots used to be purple – as well as red, white, yellow and of coarse orange.	1
Gaga’s producer Rob Fusari nicknamed her Gaga in 2006.	1
The tourism commercials starred Gao Yuanyuan and Li Guangjie as a Chinese couple, with cameos by Song Seung-heon, Park Hae-jin and Park Eun-hye.	0
Other animals, especially those that are ridden or driven as working animals, are only free to eat when not working, and may be given a more limited amount of hay to prevent them from getting too fat.	0
The community’s arms might be described thus: Gules two arrows in saltire the dexters sable and the sinisters Or surmounted by a heart argent, itself surmounted by a bunch of grapes azure, the stalk of the second, the whole between two mullets of six of the third.	0
There are a number of non-infectious causes of inflammation of the gastrointestinal tract.	0
However, an exceptionally bad run with injuries, including a severe blood clot that threatened his life during 1994, prevented Aaron from ever reaching the heights his father did, and he played representative rugby league only during the Super League war in 1995.	0
One of the most common names for him today is Santa Claus.	1
It was Walt Disney’s wife who convinced him to change the name of his character from ‘Mortimer Mouse’ to ‘Mickey Mouse’!	1
Breaking down, Claire reveals that she just wanted Skylar to like her and she didn't want the field hockey team to be disqualified if Dina's picture was ever discovered.	0
Lesser celandine is found in a range of habitats, including woodlands, hedgerows, churchyards, road verges, meadows, in gardens and waste ground and on river banks.	1
They’re signed by Fueled by Ramen, a subsidiary of Atlantic Records since 2012.	1
In July 1972 he participated in ETA meetings in Madrid.	0
The bolero-son: long-time favourite dance music in Cuba, captured abroad under the misnomer 'rumba'.	0
Among the managers he worked for was Bobby Valentine, and in he left the Mets' organization to serve under Valentine and pitching coach Bob McClure as the assistant pitching coach of the Boston Red Sox.	0
It is possible to age a lobster by counting the rings on its eyestalks.	1
Day 2 — 4 foursome matches in a morning session and 4 four-ball matches in an afternoon session	0
Abel Aubert Dupetit Thouars (August 3, 1793 – March 16, 1864) was a French naval officer important in France's anexation of French Polynesia.	0
The on which Emperor Chongzhen hanged himself shortly after escaping the Forbidden City in Beijing, China.	0
For heating, it was desirable to maximize the temperature and minimize the luminosity.	0
AMF3 aims for more compression and one of the ways it achieves this is by avoiding string duplication by saving them into an array against which all new string are checked.	0
Here she makes SpiderMan temporarily invisible.	0
Carroll’s other successful works include The Hunting of the Snark and Jabberwocky.	1
He wants to have kids at some point, but he said in 2015 that he didn’t want them for a long while yet.	1
A group of parrots is known as a pandemonium of parrots.	1
Did you know that there are also black leopards?	0
Leonardo worked for BBC Television in the United Kingdom during the 2006 World Cup, as one of their Match of the Day analysts, alongside another former World Cup winner Marcel Desailly.	0
With the new system, Pole Emploi uses 5 categories:	0
have at least 100 national members,	0
After four title defenses, Grigorian defended his belt against undefeated challenger Marco Rudolph.	0
Melones Contractors won the primary construction contract for about $110 million, while Allis-Chalmers and General Electric were paid a combined $11.5 million to provide turbines and hydroelectric generating equipment.	0
The first appearance of a Slowbro in the anime was when character Professor Westwood’s Slowpoke evolved in the episode, The Evolution Solution.	1
The average computer user blinks seven times a minute, the normal rate is twenty times per minute.	1
The Birth of Bacchus1657123 x 179 cmPainted for Jacques Stella, passed to the d'Orléans collection.	0
Beedrill was originally going to be spelled with only one “L”.	1
Actresses such as Pam Ferris, Miranda Hart and Vanessa Redgrave have starred in the show.	1
Prelude In C Minor by Sergei Rachmaninoff	0
Box office receipts totaled US$105,178,561, of which $74,078,174 was from the United States having earned US$16,712,407 in its opening weekend at 2,530 theaters.	0
This is the deepest, most subtle level of dukkha; it includes "a basic unsatisfactoriness pervading all existence, all forms of life, because all forms of life are changing, impermanent and without any inner core or substance."	0
A pioneer of the fire insurance industry was named Nicholas If-Christ-had-not-died-for-thee-thou-hadst-been-damned Barebone.	1
Lutheran church records (births/marriages/deaths): 1784-1904 (parish B)	0
Pluto is named after the Roman god of the underworld, not the Disney Dog.	1
The Heart of Sarajevo Award for Best Film	0
Elvis subsequently purchased Blackhawks manufactured for him by the Stutz Motor Company in 1971, 1972 and 1973.	0
Elite Impact DamsElite Impact Dams are cows that meet the criteria of an Impact Dam, plus have had at least 3 calves whose weaning weight (205 day weight) ratio is 100 or greater.	0
Brian Griffin from Family Guy is a Labrador Retriever, he is eight years old, which is 56 in dog years.	1
Two cases of leopards killing cheetahs have been reported in 2014.	0
Around 70% of people tilt their heads to the right rather than the left when kissing somebody else.	1
This motif recurs in the revolutionary poetry of his later years.	0
Twinkies originally had banana flavored filling, but switched to vanilla when World War 2 bought the banana trade to a halt.	1
Karl Friedrich, Grand Duke of Saxe-Weimar-Eisenach (1783–1853), and had four children.	0
The Swedish American press was the second largest foreign-language press in the United States (after German language imprints) in 1910.	0
42May 23@ Red Sox3–2Feliciano (1–1)Papelbon (0–1)Putz (2)37,87123–19	0
